frequency,MAG,PHA
100.0,0.00163934426229508,-3.0
108.07067528039548,0.0,-3.0
116.79270855560695,0.0145161290322581,-3.0
126.21866881430866,0.0984374999999999,-3.0
136.4053677175493,0.0999999999999999,-3.0
147.41420201106226,0.0999999999999999,-3.0
159.31152357256133,0.0999999999999999,-3.0
172.16903932435343,0.0999999999999999,-3.0
186.0642434215984,0.0999999999999999,-3.01666666666667
201.08088432108042,0.0999999999999998,-4.0
217.3094695455825,0.0999999999999997,-3.99285714285714
234.8478111861566,0.0999999999999998,-4.0
253.8016154301076,0.0999999999999998,-4.0
274.2851196678697,0.0999999999999998,-4.0
296.42178101870763,0.0999999999999998,-4.0
320.3450204250928,0.0999999999999998,-4.37593984962406
346.1990268005186,0.0999999999999998,-4.58015267175572
374.13962607747777,0.0999999999999998,-6.0
404.3352203934773,0.199428571428571,-6.0
436.96780307570623,0.2,-6.91907514450867
472.2340555418245,0.2,-7.0
510.3465327280476,0.2,-7.0
551.5349441892861,0.299999999999999,-7.65868263473054
596.0475385927139,0.299999999999999,-9.0
644.1525999493223,0.399999999999999,-9.0
696.1400646014571,0.399999999999999,-10.0
752.323268712176,0.5,-12.0
813.0408367887928,0.599999999999997,-13.0
878.6587226230274,0.693555555555552,-13.1155555555556
949.5724149488028,0.800000000000006,-16.0514018691589
1026.2093211115312,0.899999999999995,-18.9254079254079
1109.031343115594,1.0,-20.0
1198.537661576262,1.19999999999999,-23.0
1295.2677443553275,1.39999999999999,-26.0
1399.804598013949,1.60000000000001,-30.0
1512.7782816797016,1.89999999999999,-36.0
1634.8697045064168,2.10000000000001,-43.0
1766.8147296146926,2.10000000000001,-53.0
1909.408609248092,1.79999999999999,-67.9976133651551
2063.510777876421,0.599999999999999,-85.0022075055188
2230.0500321347895,-1.89999999999999,-102.657952069717
2410.030128818746,-5.80000000000001,-118.008968609865
2604.5358346754037,-11.5152993348115,-130.844789356984
2814.7394644535966,-22.3,-135.92600896861
2930.0,-46.0208616780045,-60.1604651162791
3041.907946618789,-24.2999999999999,28.5753424657534
3287.4104593189377,-15.8999999999999,26.0573394495413
3552.7266826243267,-12.6000000000001,23.420814479638
3839.4557167789026,-10.6999999999999,20.0855855855856
4149.325720214712,-9.59999999999996,17.0
4484.204325419178,-8.80000000000003,16.0
4846.109895433208,-8.09999999999996,13.9843400447427
5237.223688824735,-7.59999999999994,11.9953596287703
5659.90300645773,-7.30000000000004,11.9645390070922
6116.6953992942745,-7.0,11.9717647058824
6610.354022862211,-6.80000000000003,9.55238095238096
7143.85423093198,-6.59999999999995,9.08478802992518
7720.411508415302,-6.49448621553885,7.11027568922306
8343.500851569785,-6.30000000000002,7.875
9016.877712317013,-6.19999999999998,6.18837209302326
9744.600632908472,-6.10142517814722,6.62142857142857
10531.055707361898,-6.09999999999995,6.00968523002421
11380.983017100632,-6.0,4.72142857142857
12299.505200127782,-5.99631449631449,5.98768472906404
13292.158325925451,-5.90000000000005,4.0641975308642
14364.925262166946,-5.90000000000005,4.13936430317849
15524.271734347938,-5.8004987531172,3.72817955112219
16777.185295673382,-5.8,3.06913580246914
18131.217442077435,-5.79999999999999,3.51262626262626
19594.529126209934,-5.79999999999999,3.67857142857143
21175.939944708894,-5.7969151670951,3.61696658097686
22884.98129521791,-5.70000000000002,3.63421052631579
24731.95382353419,-5.70000000000001,3.16410256410256
26727.989507128987,-5.70000000000002,2.64210526315789
28885.118749227604,-5.70000000000002,3.1096256684492
31216.3428878344,-5.70000000000002,2.83246073298429
33735.71255672634,-5.70000000000002,3.48648648648649
36458.41237070732,-5.70000000000002,3.15159574468085
39400.85244553465,-5.70000000000003,3.03252032520325
42580.76730412152,-5.70000000000003,3.30747126436782
46017.32276513797,-5.70000000000003,3.12790697674419
49731.23145824376,-5.69387755102044,3.06122448979592
53744.8776621805,-5.63194029850745,3.22985074626866
58082.452218141014,-5.60059880239518,3.18862275449102
62770.09833155804,-5.59999999999996,3.08510638297872
67836.06914108303,-5.59999999999996,3.20060790273556
73310.89800444455,-5.59999999999996,3.26769230769231
79227.5825275252,-5.59999999999996,3.46604938271605
85621.7834458291,-5.59999999999997,4.015625
92532.03955702539,-5.59999999999997,4.60815047021944
100000.0,-5.59999999999997,5.06666666666666
